n_points,dimension,std,standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
100,3,0.001,18.550721814855933,9.537279691547155,9.175480844452977,7.006488738581538,7.112140338867903,0,2.391074124723673,27.334651708602905,0.14872664771974087
100,3,0.001,20.027203418314457,10.651321979239583,10.084691137075424,7.823819587007165,5.441915703937411,0,2.2714956030249596,31.90141561254859,0.16321656480431557
100,3,0.001,17.519857063889503,9.450135899707675,9.081170266494155,7.221927523612976,6.849384564906359,0,2.417320668697357,28.661785066127777,0.14882970973849297
100,3,0.001,18.12918659672141,9.539362138137221,9.179178172722459,7.134790185838938,7.19175910949707,0,2.186366807669401,29.837607325986028,0.14807648956775665
100,3,0.001,29.394118396565318,14.530231395736337,14.056949263438582,9.796141747385263,8.247343681752682,0,2.5517650861293077,44.6292820032686,0.19063583202660084
100,3,0.001,31.710686463862658,15.457097116857767,15.063468229025602,10.261802539229393,8.978520937263966,0,2.496956003829837,48.183618703857064,0.1639234498143196
100,3,0.001,17.79867826215923,9.56623425334692,9.08078957721591,7.342640683054924,5.603457387536764,0,2.466377044096589,28.95561423152685,0.17650431208312511
100,3,0.001,20.79287362843752,11.244465688243508,10.717344282194972,8.174276683479548,7.58478818833828,0,2.519848147407174,33.16350366361439,0.19402274303138256
100,3,0.001,19.211074886843562,10.047128519043326,9.666417330503464,7.228867782279849,7.087442088872194,0,2.1017868239432573,30.7561112344265,0.16879979707300663
100,3,0.001,16.177663007751107,8.898262882605195,8.654427183791995,6.923079119995236,7.71393714658916,0,2.4437515269964933,27.68955816142261,0.14712797664105892
100,3,0.001,20.85409634001553,10.955045375972986,10.436637118458748,7.860541004687548,7.268304048106074,0,2.4071165062487125,32.98291757516563,0.17535200156271458
100,3,0.001,16.554676281288266,8.862543288618326,8.419957367703319,6.690033070743084,4.945666890591383,0,2.1655823159962893,26.33061521872878,0.14381691627204418
100,3,0.001,25.266624573618174,12.762696517631412,12.358706470578909,8.734164975583553,5.668675314635038,0,2.458345342427492,38.97301536612213,0.1860980223864317
100,3,0.001,18.841074692085385,9.988608168438077,9.863466318696737,7.4347901195287704,6.847604755312204,0,2.3619317915290594,30.51059429720044,0.18183349072933197
100,3,0.001,15.526049161329865,7.927230183035135,7.630533963441849,6.001857263967395,6.089970605447888,0,1.64568898268044,23.220454210415483,0.12431831285357475
100,3,0.001,19.525454938411713,10.05456606298685,9.568507203832269,7.31703550927341,6.9374462608247995,0,2.1598567105829716,30.230845913290977,0.14305783063173294
100,3,0.001,24.249308759346604,12.272142998874187,11.836028929799795,8.281069243326783,7.761120360344648,0,2.3018662612885237,38.58782170154154,0.17839466035366058
100,3,0.001,18.083899838849902,9.553930578753352,9.292195796966553,7.163196809589863,6.932008646428585,0,2.2031833231449127,29.21763144992292,0.19642307423055172
100,3,0.001,17.054047893732786,8.79692148603499,8.647192222997546,6.67534694634378,5.037597469985485,0,2.1394464317709208,27.025890577584505,0.14104952663183212
100,3,0.001,23.630028435960412,12.003339320421219,11.665387351065874,8.263997282832861,7.095200138166547,0,2.3555608112365007,36.62716451473534,0.22028874792158604
