std,initial_redue,rebuild,update,nnz_old_U,nnz_reb,nnz_upd
0.1,1.0550189890009278,0.5760603359995002,0.7721955805000107,3492752.0,1297940.0,1748406.0
0.2,0.9874788694996823,0.540377759999501,0.7704532910001944,3492752.0,1504702.0,1811623.0
0.3,1.085515163999844,0.346743951499775,0.6211572339989289,3492752.0,646650.0,822216.0
0.4,1.1193073240001468,0.3389686044993141,0.6733911644996624,3492752.0,757931.0,961933.0
0.5,1.16281592750056,0.290125138500116,0.6235596679998707,3492752.0,571303.0,827487.0
0.6,1.2524542199998905,0.195221703000243,0.5290461830009008,3492752.0,445847.0,484879.0
0.7,1.1434304090007572,0.14949513650026347,0.4027134450006997,3492752.0,222213.0,231738.0
0.8,1.3619513525000002,0.21951765099947806,0.6180280565004068,3492752.0,458883.0,516682.0
0.9,1.2243048325008203,0.1796509515006619,0.5183225305008818,3492752.0,308671.0,347643.0
1.0,1.3208618420003404,0.19253803199990216,0.5112086585004363,3492752.0,353826.0,350383.0
